0	544	1
0	8	1
0	435	1
3	197	1
3	463	1
3	601	1
4	170	1
8	435	1
12	155	1
13	482	1
14	258	1
14	437	1
14	400	1
14	393	1
14	232	1
14	544	1
14	746	1
14	242	1
14	708	1
14	31	1
14	736	1
14	268	1
14	384	1
14	0	1
14	8	1
14	613	1
14	751	1
14	435	1
14	443	1
15	234	1
15	701	1
15	254	1
15	152	1
15	399	1
15	253	1
15	129	1
15	538	1
15	322	1
15	80	1
18	890	1
18	866	1
18	1932	1
18	127	1
19	571	1
20	267	1
22	2257	1
22	1790	1
25	1181	1
25	1897	1
25	778	1
25	20	1
25	456	1
26	1129	1
27	532	1
28	586	1
30	679	1
30	231	1
30	1148	1
30	285	1
30	2276	1
32	679	1
33	1701	1
35	34	1
36	1066	1
36	2072	1
36	1974	1
36	2390	1
36	1701	1
37	563	1
38	372	1
38	563	1
38	273	1
39	24	1
39	82	1
40	761	1
41	1733	1
41	889	1
41	94	1
41	1982	1
41	725	1
41	533	1
41	2456	1
41	1713	1
41	892	1
41	352	1
41	23	1
41	115	1
42	188	1
43	576	1
45	220	1
46	238	1
46	867	1
48	1783	1
48	2682	1
48	2456	1
52	2487	1
52	2580	1
55	1905	1
55	361	1
55	1832	1
55	844	1
57	306	1
58	1891	1
58	536	1
58	990	1
58	2495	1
59	1709	1
59	570	1
59	872	1
59	874	1
60	252	1
60	688	1
62	324	1
62	332	1
62	2425	1
62	945	1
62	2474	1
62	2566	1
62	423	1
63	739	1
63	1546	1
63	210	1
63	153	1
64	284	1
66	2359	1
66	1248	1
66	2294	1
66	69	1
66	215	1
66	2310	1
66	1531	1
66	2441	1
66	2122	1
66	183	1
66	34	1
66	1698	1
66	149	1
66	2520	1
66	288	1
66	2157	1
68	1979	1
68	979	1
68	1845	1
68	1632	1
68	2007	1
68	522	1
68	1825	1
70	1521	1
70	1692	1
70	255	1
70	931	1
70	999	1
70	1986	1
71	929	1
71	677	1
71	2442	1
71	1559	1
71	1923	1
71	661	1
71	1641	1
72	771	1
72	202	1
74	906	1
74	1024	1
74	1017	1
74	1103	1
74	871	1
74	949	1
74	1220	1
74	1634	1
74	680	1
74	604	1
74	2513	1
74	2266	1
74	154	1
74	975	1
74	2654	1
74	2284	1
74	2335	1
74	505	1
74	511	1
74	987	1
74	2013	1
74	252	1
74	345	1
74	1676	1
74	622	1
74	547	1
74	881	1
74	787	1
74	2390	1
74	1928	1
74	263	1
74	71	1
74	661	1
74	2124	1
74	310	1
74	377	1
74	19	1
74	867	1
75	2122	1
75	2299	1
75	1854	1
75	1855	1
75	288	1
76	869	1
76	1128	1
76	131	1
76	975	1
76	694	1
76	1934	1
76	345	1
76	181	1
76	2532	1
76	250	1
76	2390	1
76	661	1
76	2327	1
76	1548	1
76	392	1
76	518	1
77	337	1
78	2681	1
78	469	1
81	647	1
82	548	1
82	1440	1
82	305	1
82	239	1
82	410	1
82	1553	1
82	295	1
84	12	1
84	715	1
84	998	1
84	155	1
84	347	1
84	1240	1
84	27	1
84	950	1
84	1803	1
84	1347	1
84	1550	1
85	425	1
85	2368	1
86	652	1
86	249	1
86	373	1
87	383	1
87	47	1
87	2245	1
88	762	1
88	587	1
88	116	1
88	225	1
88	760	1
88	44	1
88	682	1
88	208	1
88	371	1
90	680	1
92	2438	1
99	1852	1
99	1803	1
99	2578	1
99	1613	1
99	2592	1
99	1619	1
99	1722	1
99	2679	1
99	1255	1
100	1611	1
100	265	1
100	758	1
101	2680	1
101	2686	1
102	404	1
102	2012	1
102	1824	1
102	1893	1
102	1895	1
102	2333	1
102	1964	1
102	2583	1
107	898	1
107	250	1
107	498	1
107	108	1
107	1937	1
108	898	1
108	498	1
108	304	1
109	635	1
109	640	1
109	535	1
109	1296	1
109	1888	1
109	1074	1
109	459	1
109	672	1
109	884	1
109	2315	1
109	778	1
109	1661	1
109	171	1
109	955	1
109	507	1
109	488	1
109	967	1
109	2053	1
109	2054	1
114	171	1
115	2421	1
120	1959	1
121	1990	1
121	1825	1
121	731	1
122	1093	1
122	124	1
122	127	1
122	2400	1
123	553	1
124	2400	1
125	394	1
125	1857	1
126	94	1
126	2208	1
127	124	1
127	2228	1
127	2400	1
128	103	1
129	2363	1
129	2446	1
129	1973	1
129	1409	1
129	188	1
129	2220	1
129	2165	1
129	2451	1
129	538	1
129	22	1
129	2193	1
129	1204	1
132	346	1
133	394	1
134	1782	1
134	505	1
136	2399	1
136	2487	1
136	2580	1
136	1370	1
136	2172	1
136	1479	1
136	2543	1
136	1776	1
136	244	1
136	92	1
136	1413	1
136	159	1
136	1102	1
136	2231	1
136	2635	1
137	748	1
137	138	1
137	416	1
138	748	1
138	137	1
138	892	1
138	416	1
138	115	1
140	323	1
142	823	1
142	1318	1
142	1547	1
142	520	1
142	1283	1
142	230	1
142	227	1
142	391	1
143	180	1
143	337	1
143	346	1
143	363	1
144	188	1
144	444	1
144	2102	1
145	2521	1
145	2286	1
145	390	1
145	1224	1
145	1218	1
145	2248	1
145	2251	1
145	2280	1
145	2296	1
145	1530	1
146	17	1
150	50	1
150	643	1
152	1383	1
155	117	1
155	513	1
157	1017	1
157	2230	1
157	1375	1
